"2021","POINT (-87.667569312 41.8502663663)",352843,343039
"2023","POINT (-87.6241352979 41.8492467545)",351714,342868
"2024","POINT (-87.7112105933 41.9386661962)",351321,323861
"2024","POINT (-87.6875155152 41.9751709433)",350545,339470
"2023","POINT (-87.5949254391 41.7788768603)",350387,343371
"2023","POINT (-87.7215590627 41.968069)",350313,321813
"2019","POINT (-87.7215590627 41.968069)",349629,325492
"2023","POINT (-87.6536139825 41.8983058696)",349560,354304
"2022","POINT (-87.6233665115 41.7065878819)",349425,328747
"2019","POINT (-87.6542980837 41.9462945357)",349357,371644
"2019","POINT (-87.6385749205 41.9383912577)",349290,335367
"2020","POINT (-87.7234523905 41.9535821253)",349147,334179
"2024","POINT (-87.6591665992 41.8090182499)",348019,344594
"2023","POINT (-87.6665962653 41.7759288274)",347581,326303
"2023","POINT (-87.6875155152 41.9751709433)",347569,337009
"2023","POINT (-87.6525344838 41.8926581076)",347432,316280
"2023","POINT (-87.6321092196 41.9002656868)",346772,308189
"2020","POINT (-87.6159695226 41.7402057565)",346558,336310
"2023","POINT (-87.7112105933 41.9386661962)",346186,319880
"2020","POINT (-87.714003807 41.8390869059)",345825,336186
"2020","POINT (-87.6233665115 41.7065878819)",345061,331799
"2023","POINT (-87.6291051864 41.9002212967)",342703,298025
"2018","POINT (-87.6378442095 41.8932163595)",342232,312566
"2022","POINT (-87.7112105933 41.9386661962)",341409,312773
"2023","POINT (-87.6424975271 41.7771962546)",338818,324050
"2022","POINT (-87.6875155152 41.9751709433)",338384,328821
"2019","POINT (-87.6439653703 41.949829346)",336580,318336
"2019","POINT (-87.6640782395 41.9218774613)",335338,341039
"2021","POINT (-87.6838349425 41.9477915865)",334029,325482
"2024","POINT (-87.7058971305 41.8789144956)",333737,323861
"2019","POINT (-87.5949254391 41.7788768603)",332829,324902
"2021","POINT (-87.7633990316 41.9540276487)",332642,305363
"2021","POINT (-87.6288741572 41.8920726347)",332321,307982
"2019","POINT (-87.7112105933 41.9386661962)",331949,314584
"2019","POINT (-87.6665962653 41.7759288274)",331840,313141
"2019","POINT (-87.6750856208 41.8704150003)",331810,382439
"2020","POINT (-87.913624596 41.9802643146)",331161,453915
"2021","POINT (-87.6197106717 41.8950334495)",331124,403573
"2021","POINT (-87.714003807 41.8390869059)",329341,316889
"2025","POINT (-87.6572331997 41.8852813201)",329142,328288
"2020","POINT (-87.592310855 41.794090253)",328799,329761
"2021","POINT (-87.6161341112 41.7632467988)",328307,322109
"2022","POINT (-87.7215590627 41.968069)",327634,301003
"2023","POINT (-87.6591665992 41.8090182499)",326855,322048
"2019","POINT (-87.6350918563 41.8510178239)",325487,308779
"2019","POINT (-87.6875155152 41.9751709433)",324616,311873
"2021","POINT (-87.7509342894 41.785998518)",323293,369242
"2019","POINT (-87.6424975271 41.7771962546)",323152,308044
"2021","POINT (-87.6159695226 41.7402057565)",320730,319403
"2020","POINT (-87.6262105324 41.8991556134)",320699,333854
"2020","POINT (-87.667569312 41.8502663663)",320506,318903
"2020","POINT (-87.6197106717 41.8950334495)",319931,389016
"2019","POINT (-87.6698377982 41.8996701799)",316368,292883
"2021","POINT (-87.7696154528 41.7925923603)",315867,364982
"2019","POINT (-87.6530217894 41.9581548757)",315465,292986
"2021","POINT (-87.7112105933 41.9386661962)",314702,293435
"2020","POINT (-87.695666342 41.7718485152)",313878,297419
"2021","POINT (-87.6875155152 41.9751709433)",313534,307292
"2023","POINT (-87.7058971305 41.8789144956)",313516,304084
"2019","POINT (-87.6462109769 41.9218549112)",313375,308700
"2022","POINT (-87.5949254391 41.7788768603)",311821,305809
"2021","POINT (-87.6233665115 41.7065878819)",311351,300513
"2022","POINT (-87.6753116216 41.906025969)",309462,282959
"2022","POINT (-87.695666342 41.7718485152)",309090,286116
"2018","POINT (-87.6262149064 41.8925077809)",308438,303062
"2022","POINT (-87.6321092196 41.9002656868)",306710,278691
"2024","POINT (-87.6186777673 41.8351179863)",306238,308058
"2020","POINT (-87.6288741572 41.8920726347)",305912,280309
"2022","POINT (-87.6178596758 41.8129489392)",305169,292639
"2019","POINT (-87.6988607973 41.8173662079)",305155,289330
"2019","POINT (-87.685362024 41.9286190509)",304551,310561
"2019","POINT (-87.6649539167 41.8997373884)",303337,270392
"2021","POINT (-87.657005027 41.8790669938)",303056,269482
"2020","POINT (-87.7633990316 41.9540276487)",301659,283624
"2019","POINT (-87.7058971305 41.8789144956)",301432,292204
"2019","POINT (-87.6716536214 41.8786674201)",299148,425718
